name,key,id,commonname,prototype,pearson,strukturbericht,sg_number,sg_hm,sg_schoenflies,crystalfamily,natypes
A1--Cu--fcc,d30980ad-ae18-425d-84cb-abf08577bdc8,A1--Cu--fcc,face-centered cubic,Cu,cF4,A1,225.0,F m -3 m,Oh^5,cubic,1.0
A15--Cr3Si,f4101896-1e17-4736-a4d1-308b8934e8ce,A15--Cr3Si,beta-tungsten,Cr3Si,cP8,A15,223.0,P m -3 n,Oh^3,cubic,2.0
A15--beta-W,e0126715-c7db-4d79-be80-707c572bebd6,A15--beta-W,beta-tungsten,b-W,cP8,A15,223.0,P m -3 n,Oh^3,cubic,1.0
A2--W--bcc,bc13827d-e1e6-4d70-8c3a-59399ad78b0f,A2--W--bcc,body-centered cubic,W,cI2,A2,229.0,I m -3 m,Oh^9,cubic,1.0
A3'--alpha-La--double-hcp,154d1a2b-04da-4477-8962-a0ca0c17c8fc,A3'--alpha-La--double-hcp,double hcp,La,hP4,A3',194.0,P 6_3/m m c,D6h^4,hexagonal,1.0
A3--Mg--hcp,4dab7fbb-108a-425e-8adb-d55de7b1134b,A3--Mg--hcp,hexagonal close-packed,Mg,hP2,A3,194.0,P 6_3/m m c,D6h^4,hexagonal,1.0
A4--C--dc,12654c83-c153-4b58-8805-f6dce43b7842,A4--C--dc,diamond cubic,C,cF8,A4,227.0,F d -3 m,Oh^7,cubic,1.0
A5--beta-Sn,821526c5-561e-4f09-8a04-680419dc1495,A5--beta-Sn,white tin,b-Sn,tI4,A5,141.0,I 4_1/a m d,D4h^19,tetragonal,1.0
A6--In--bct,76cbf2c1-fa86-41c4-85ae-c24f55c9f13a,A6--In--bct,body-centered tetragonal,In,tI2,A6,139.0,I 4/m m m,D4h^17,tetragonal,1.0
A7--alpha-As,c1e15cf8-6998-40ce-afbd-0b1cb6271a1f,A7--alpha-As,alpha As,a-As,hR6,A7,166.0,R -3 m,D3d^5,hexagonal,1.0
Ah--alpha-Po--sc,ceb6d7cc-b20e-4878-8b2b-1e62185d16af,Ah--alpha-Po--sc,simple cubic,a-Po,cP1,Ah,221.0,P m -3 m,Oh^1,cubic,1.0
B1--NaCl--rock-salt,133ca871-c927-4073-ae46-b8a27e035f4b,B1--NaCl--rock-salt,rock salt,NaCl,cF8,B1,225.0,F m -3 m,Oh^5,cubic,2.0
B2--CsCl,7398b231-fd55-4378-b6b2-6607262d3090,B2--CsCl,cesium chloride,CsCl,cP2,B2,221.0,P m -3 m,Oh^1,cubic,2.0
B3--ZnS--cubic-zinc-blende,ce517a32-6bca-47d0-82a2-2ee48956cff9,B3--ZnS--cubic-zinc-blende,cubic zinc-blende,c-ZnS,cF8,B3,216.0,F -4 3 m,Td^2,cubic,2.0
C1--CaF2--fluorite,74171ba0-6605-4956-b8d5-0059672ee7e2,C1--CaF2--fluorite,fluorite,CaF2,cF12,C1,225.0,F m -3 m,Oh^5,cubic,2.0
D0_3--BiF3,8a2eb4b8-1302-46d9-992d-4296c227d966,D0_3--BiF3,BiF3,BiF3,cF16,D0_3,225.0,F m -3 m,Oh^5,cubic,2.0
L1_0--AuCu,f7b8d5d9-b0eb-401a-9cc3-038170e3ac1c,L1_0--AuCu,AuCu,AuCu,tP2,L1_0,123.0,P 4/m m m,D4h^1,tetragonal,2.0
L1_2--AuCu3,942ce385-85ab-4cb9-8adc-4bdaaf145831,L1_2--AuCu3,AuCu3,AuCu3,cP4,L1_2,221.0,P m -3 m,Oh^1,cubic,2.0
L2_1--AlCu2Mn--heusler,0fb6d590-5ce5-4476-a1bf-7130f96f2af1,L2_1--AlCu2Mn--heusler,heusler,AlCu2Mn,cF16,L2_1,225.0,F m -3 m,Oh^5,cubic,3.0
