name,id,family,hkl,a1vect_uvw,a2vect_uvw,shiftindex,cutboxvector
A1--Cu--fcc--100sf,A1--Cu--fcc--100sf,A1--Cu--fcc,1  0  0,0.0 -0.5 0.5,0.0 -0.5 -0.5,0,c
A1--Cu--fcc--111sf,A1--Cu--fcc--111sf,A1--Cu--fcc, 1  1  1,0.0 -0.5 0.5,0.5 -0.5 0.0,0,c
A2--W--bcc--110sf,A2--W--bcc--110sf,A2--W--bcc,1  1  0,-0.5 0.5 -0.5,-0.5 0.5 0.5,0,c
A2--W--bcc--112sf,A2--W--bcc--112sf,A2--W--bcc,1  1  2,-0.5 -0.5 0.5,1.0 -1.0 0.0,0,c
A2--W--bcc--123sf,A2--W--bcc--123sf,A2--W--bcc,1  2  3,-0.5 -0.5 0.5,1.5 -1.5 0.5,0,c
A3--Mg--hcp--0001sf,A3--Mg--hcp--0001sf,A3--Mg--hcp,0 0 0 1,0.6666666666666666 -0.3333333333333333 -0.3333333333333333 0.0,0.3333333333333333  0.3333333333333333 -0.6666666666666666 0.0,0,c
A3--Mg--hcp--1010sf-1,A3--Mg--hcp--1010sf-1,A3--Mg--hcp,1 0 -1 0,-0.3333333333333333 0.6666666666666666 -0.3333333333333333 0.0,0.0 0.0 -0.0 1.0,0,c
A3--Mg--hcp--1010sf-2,A3--Mg--hcp--1010sf-2,A3--Mg--hcp,1 0 -1 0,-0.3333333333333333 0.6666666666666666 -0.3333333333333333 0.0,0.0 0.0 -0.0 1.0,1,c
A3--Mg--hcp--1011sf-1,A3--Mg--hcp--1011sf-1,A3--Mg--hcp,1 0 -1 1,-0.3333333333333333 0.6666666666666666 -0.3333333333333333 0.0,-0.6666666666666666 0.3333333333333333 0.3333333333333333 1.0,0,c
A3--Mg--hcp--1011sf-2,A3--Mg--hcp--1011sf-2,A3--Mg--hcp,1 0 -1 1,-0.3333333333333333 0.6666666666666666 -0.3333333333333333 0.0,-0.6666666666666666 0.3333333333333333 0.3333333333333333 1.0,1,c
A3--Mg--hcp--2112sf,A3--Mg--hcp--2112sf,A3--Mg--hcp,2 -1 -1 2,0.0 1.0 -1.0 0.0,-0.6666666666666666 0.3333333333333333 0.3333333333333333 1.0,0,c
